State,District,Year,Rape,Attempt_to_commit_Rape,Kidnapping_Abduction_Total,Dowry_Deaths,Sexual_Harassment,Stalking,Insult_to_the_Modesty_of_Women_Total,Total_Crime_Against_Women
Andhra Pradesh,Anantapur,2022,35,35,35,35,35,35,35,245
Andhra Pradesh,Chittoor,2022,32,32,32,32,32,32,32,224
Andhra Pradesh,Cuddapah,2022,28,4,16,16,212,0,12,288
Andhra Pradesh,East Godavari,2022,85,18,25,7,159,55,62,411
Andhra Pradesh,Guntakal Railway,2022,0,0,0,0,0,0,0,0
Andhra Pradesh,Guntur,2022,49,24,46,16,17,8,347,507
Andhra Pradesh,Guntur Urban,2022,40,8,56,12,0,0,452,568
Andhra Pradesh,Krishna,2022,80,20,34,8,98,76,232,548
Andhra Pradesh,Kurnool,2022,32,4,37,12,81,40,251,457
Andhra Pradesh,Nellore,2022,58,16,124,14,79,32,205,528
Andhra Pradesh,Prakasham,2022,50,8,50,8,24,13,16,169
Andhra Pradesh,Rajahmundry,2022,35,3,8,3,37,17,27,130
Andhra Pradesh,Srikakulam,2022,40,3,10,3,26,22,91,195
Andhra Pradesh,Tirupathi Urban,2022,18,5,17,13,2,5,21,81
Andhra Pradesh,Vijayawada City,2022,64,4,27,10,40,91,212,448
Andhra Pradesh,Vijayawada Railway,2022,0,0,2,2,4,0,6,14
Andhra Pradesh,Visakha Rural,2022,38,0,15,4,35,6,57,155
Andhra Pradesh,Visakhapatnam,2022,84,0,50,13,50,27,112,336
Andhra Pradesh,Vizianagaram,2022,47,1,19,8,0,0,327,402
Andhra Pradesh,West Godavari,2022,146,46,45,24,126,32,99,518
Andhra Pradesh,Total,2022,961,165,721,215,1072,504,2649,6287
Arunachal Pradesh,Anjaw,2022,0,0,1,0,1,0,0,2
Arunachal Pradesh,Changlang,2022,6,0,6,0,0,0,0,12
Arunachal Pradesh,Crime Branch,2022,0,0,0,0,0,0,0,0
Arunachal Pradesh,Dibang Valley,2022,1,0,0,0,0,0,0,1
Arunachal Pradesh,Kameng East,2022,1,0,1,0,0,0,0,2
Arunachal Pradesh,Kameng West,2022,0,1,2,0,8,1,0,12
Arunachal Pradesh,Kukung Kumey,2022,3,0,0,0,0,0,0,3
Arunachal Pradesh,Lohit,2022,7,0,25,0,0,0,0,32
Arunachal Pradesh,Longding,2022,3,0,4,0,1,0,0,8
Arunachal Pradesh,Lower Dibang Valley,2022,3,0,2,0,0,0,0,5
Arunachal Pradesh,Papum Pare City,2022,32,2,36,1,1,0,0,72
Arunachal Pradesh,Papum Pare Rural,2022,0,0,4,0,0,0,0,4
Arunachal Pradesh,Siang East,2022,11,3,2,0,8,0,0,24
Arunachal Pradesh,Siang Upper,2022,1,0,0,0,0,0,0,1
Arunachal Pradesh,Siang West,2022,6,3,1,0,0,0,3,13
Arunachal Pradesh,Subansiri Lower,2022,1,0,2,0,0,0,0,3
Arunachal Pradesh,Subansiri Upper,2022,5,1,2,0,0,0,0,8
Arunachal Pradesh,Tawang,2022,0,0,0,0,0,0,0,0
Arunachal Pradesh,Tirap,2022,3,0,3,0,2,0,0,8
Arunachal Pradesh,Total,2022,83,10,91,1,21,1,3,210
Assam,Barpeta,2022,143,0,359,21,198,0,0,721
Assam,Baska,2022,26,0,36,4,0,0,0,66
Assam,Bongaigaon,2022,31,0,29,4,0,0,0,64
Assam,Cachar,2022,81,0,214,14,0,0,0,309
Assam,Chirang,2022,29,5,42,7,0,0,0,83
Assam,Darrang,2022,111,23,186,11,33,0,0,364
Assam,Dhemaji,2022,45,12,68,3,3,0,1,132
Assam,Dhubri,2022,193,0,405,10,0,0,0,608
Assam,Dibrugarh,2022,67,0,123,5,0,0,0,195
Assam,Goalpara,2022,108,0,119,8,0,0,0,235
Assam,Golaghat,2022,74,37,190,7,0,0,0,308
Assam,Guwahati City,2022,100,25,424,11,50,0,0,610
Assam,Hailakandi,2022,77,0,89,4,0,0,0,170
Assam,Jorhat,2022,36,0,72,6,0,0,0,114
Assam,Kamrup,2022,77,23,47,1,0,0,0,148
Assam,Karbi Anglong,2022,23,6,55,0,0,0,0,84
Assam,Karimganj,2022,76,0,109,13,0,0,0,198
Assam,Kokrajhar,2022,45,0,79,3,0,0,0,127
Assam,Lakhimpur,2022,67,0,150,4,0,0,0,221
Assam,Morigaon,2022,81,14,174,7,0,0,0,276
Assam,N. C. Hills,2022,6,0,25,0,0,0,0,31
Assam,Nagaon,2022,187,78,295,22,174,0,0,756
Assam,Nalbari,2022,41,0,100,0,0,0,0,141
Assam,Sibsagar,2022,44,0,177,6,0,0,0,227
Assam,Sonitpur,2022,112,0,202,5,0,0,0,319
Assam,Tinsukia,2022,66,3,64,3,0,0,0,136
Assam,Udalguri,2022,34,1,62,9,0,0,0,106
Assam,Total,2022,1980,227,3895,188,458,0,1,6749
Bihar,Araria,2022,35,0,68,17,0,0,0,120
Bihar,Arwal,2022,6,0,18,11,1,0,0,36
Bihar,Aurangabad,2022,12,10,70,28,25,1,0,146
Bihar,Bagaha,2022,14,9,56,7,25,1,0,112
Bihar,Banka,2022,22,0,62,23,0,0,0,107
Bihar,Begusarai,2022,30,27,132,28,2,3,1,223
Bihar,Bettiah,2022,33,0,102,39,0,0,0,174
Bihar,Bhabhua,2022,12,16,61,12,0,0,0,101
Bihar,Bhagalpur,2022,52,25,165,20,16,2,0,280
Bihar,Bhojpur,2022,32,15,115,46,2,0,0,210
Bihar,Buxar,2022,16,0,72,24,13,0,0,125
Bihar,Darbhanga,2022,50,56,216,30,8,0,0,360
Bihar,Gaya,2022,48,26,174,63,0,0,0,311
Bihar,Gopalganj,2022,14,0,110,33,0,0,6,163
Bihar,Jamalpur Railway,2022,0,0,2,0,3,0,0,5
Bihar,Jamui,2022,23,23,46,21,0,0,1,114
Bihar,Jehanabad,2022,10,13,66,22,0,0,0,111
Bihar,Katihar,2022,65,17,116,14,0,0,0,212
Bihar,Katihar Railway,2022,0,0,1,0,3,0,0,4
Bihar,Khagaria,2022,14,17,92,17,2,0,0,142
Bihar,Kishanganj,2022,64,0,101,12,1,0,0,178
Bihar,Lakhisarai,2022,10,5,35,8,43,0,1,102
Bihar,Madhepura,2022,10,19,64,8,8,0,0,109
Bihar,Madhubani,2022,41,11,169,34,9,0,0,264
Bihar,Motihari,2022,31,0,223,75,0,0,0,329
Bihar,Munger,2022,11,8,49,8,3,0,0,79
Bihar,Muzaffarpur,2022,44,61,215,178,83,0,0,581
Bihar,Muzaffarpur Railway,2022,2,0,2,2,0,0,0,6
Bihar,Nalanda,2022,29,12,124,59,0,0,0,224
Bihar,Naugachia,2022,10,0,36,10,3,0,0,59
Bihar,Nawadah,2022,22,3,57,22,10,0,0,114
Bihar,Patna,2022,86,28,519,83,0,0,60,776
Bihar,Patna Railway,2022,1,0,1,5,0,0,0,7
Bihar,Purnea,2022,66,0,140,26,0,0,0,232
Bihar,Rohtas,2022,22,5,115,54,0,0,0,196
Bihar,Saharsa,2022,14,0,94,19,0,0,0,127
Bihar,Samastipur,2022,38,40,173,39,0,0,0,290
Bihar,Saran,2022,37,0,160,83,0,0,0,280
Bihar,Sheikhpura,2022,5,0,34,6,1,0,0,46
Bihar,Sheohar,2022,8,5,24,6,10,0,0,53
Bihar,Sitamarhi,2022,11,20,188,29,0,0,0,248
Bihar,Siwan,2022,17,0,152,64,0,0,0,233
Bihar,Supaul,2022,32,13,90,22,0,0,0,157
Bihar,Vaishali,2022,28,0,226,66,0,0,0,320
Bihar,Economic Offences Unit,2022,0,0,0,0,0,0,0,0
Bihar,Anti Terrorist Squad,2022,0,0,0,0,0,0,0,0
Bihar,Total,2022,1127,484,4735,1373,271,7,69,8066
Chhattisgarh,Balod,2022,34,0,18,4,16,9,3,84
Chhattisgarh,Balodbazar,2022,40,6,113,8,84,0,6,257
Chhattisgarh,Balrampur,2022,111,0,14,5,0,0,1,131
Chhattisgarh,Bemetra,2022,41,0,23,3,0,0,0,67
Chhattisgarh,Bilaspur,2022,94,0,156,13,49,15,5,332
Chhattisgarh,Bizapur,2022,6,0,8,0,1,1,0,16
Chhattisgarh,Dantewara,2022,11,0,6,0,3,1,0,21
Chhattisgarh,Dhamtari,2022,36,1,19,3,4,3,6,72
Chhattisgarh,Durg,2022,84,4,150,12,0,0,12,262
Chhattisgarh,Gariyaband,2022,42,1,13,3,12,4,3,78
Chhattisgarh,G. R. P. Raipur,2022,0,0,1,1,7,0,0,9
Chhattisgarh,Jagdalpur,2022,32,0,31,1,42,0,0,106
Chhattisgarh,Janjgir,2022,64,0,106,20,54,2,7,253
Chhattisgarh,Jashpur,2022,86,0,33,0,48,0,0,167
Chhattisgarh,Kabirdham,2022,39,1,54,6,0,2,2,104
Chhattisgarh,Kanker,2022,40,0,31,5,0,0,2,78
Chhattisgarh,Kondagaon,2022,21,0,15,1,2,0,0,39
Chhattisgarh,Korba,2022,68,2,36,6,5,5,4,126
Chhattisgarh,Koriya,2022,58,0,62,2,74,0,1,197
Chhattisgarh,Mahasamund,2022,44,0,65,10,1,0,4,124
Chhattisgarh,Mungali,2022,10,0,32,6,0,0,15,63
Chhattisgarh,Narayanpur,2022,7,0,5,0,0,0,0,12
Chhattisgarh,Raigarh,2022,121,0,49,7,140,0,1,318
Chhattisgarh,Raipur,2022,141,6,179,3,48,16,4,397
Chhattisgarh,Rajnandgaon,2022,57,0,93,4,27,10,3,194
Chhattisgarh,Sarguja,2022,94,0,11,4,15,1,0,125
Chhattisgarh,Sukma,2022,5,0,5,0,5,0,0,15
Chhattisgarh,Surajpur,2022,50,0,65,1,12,3,0,131
Chhattisgarh,Total,2022,1436,21,1393,128,649,72,79,3778
Goa,North Goa,2022,55,0,55,0,38,16,40,204
Goa,South Goa,2022,37,2,31,0,10,8,17,105
Goa,C. I. D.,2022,3,0,0,0,2,1,0,6
Goa,Total,2022,95,2,86,0,50,25,57,315
Gujarat,Ahmedabad City,2022,100,0,261,11,68,12,3,455
Gujarat,Ahmedabad Rural,2022,18,0,80,0,4,0,0,102
Gujarat,Amreli,2022,7,1,65,0,0,0,1,74
Gujarat,Anand,2022,12,0,71,0,2,0,5,90
Gujarat,Arvalli,2022,5,0,37,0,19,0,2,63
Gujarat,Banaskantha,2022,56,0,105,0,5,0,2,168
Gujarat,Bharuch,2022,42,0,45,0,15,8,0,110
Gujarat,Bhavnagar,2022,17,0,97,0,10,0,36,160
Gujarat,Botad,2022,11,0,25,0,0,0,0,36
Gujarat,Chhotaudepur,2022,15,0,38,0,0,0,0,53
Gujarat,C. I. D. Crime,2022,0,0,0,0,0,0,0,0
Gujarat,Dahod,2022,27,0,95,0,0,0,0,122
Gujarat,Dang,2022,4,0,2,1,0,0,4,11
Gujarat,Devbhumi Dwarka,2022,3,0,13,0,0,0,0,16
Gujarat,Gandhinagar,2022,17,3,65,0,4,3,2,94
Gujarat,Gir Somnath,2022,17,0,29,1,4,0,2,53
Gujarat,Jamnagar,2022,34,0,56,1,0,0,1,92
Gujarat,Junagadh,2022,21,0,64,0,0,1,0,86
Gujarat,Kachchh East(G),2022,31,0,39,0,9,0,2,81
Gujarat,Kachchh West(B),2022,18,1,26,0,26,0,3,74
Gujarat,Kheda,2022,12,0,78,0,2,2,0,94
Gujarat,Mahisagar,2022,10,0,22,0,7,1,0,40
Gujarat,Mehsana,2022,6,0,92,0,4,0,0,102
Gujarat,Morbi,2022,9,0,22,3,0,0,1,35
Gujarat,Narmada,2022,8,0,15,0,21,0,0,44
Gujarat,Navsari,2022,15,0,32,0,11,0,0,58
Gujarat,Panchmahal,2022,24,1,66,0,20,1,0,112
Gujarat,Patan,2022,25,0,48,1,0,0,0,74
Gujarat,Porbandar,2022,8,0,17,1,3,0,1,30
Gujarat,Rajkot City,2022,17,0,69,0,5,0,5,96
Gujarat,Rajkot Rural,2022,30,0,61,1,12,1,1,106
Gujarat,Sabarkantha,2022,10,0,34,0,33,0,1,78
Gujarat,Surat City,2022,94,0,120,2,45,1,0,262
Gujarat,Surat Rural,2022,21,0,35,0,1,0,0,57
Gujarat,Surendranagar,2022,22,0,37,0,7,0,0,66
Gujarat,Tapi,2022,15,0,10,0,0,0,89,114
Gujarat,Vadodara City,2022,23,0,75,1,46,21,8,174
Gujarat,Vadodara Rural,2022,11,0,62,0,17,1,3,94
Gujarat,Valsad,2022,26,0,76,0,4,10,0,116
Gujarat,W.Rly  Ahmedabad,2022,0,0,0,0,1,0,0,1
Gujarat,W.Rly Vadodara,2022,0,0,3,0,0,0,1,4
Gujarat,Total,2022,841,6,2187,23,405,62,173,3697
Haryana,Ambala (Rural),2022,25,6,58,9,15,0,0,113
Haryana,Ambala (Urban),2022,31,3,86,8,6,7,1,142
Haryana,Bhiwani,2022,44,10,83,12,24,17,1,191
Haryana,Faridabad,2022,101,4,272,20,35,17,16,465
Haryana,Fatehabad,2022,27,1,33,7,20,10,2,100
Haryana,G. R. P.,2022,1,0,4,8,3,5,1,22
Haryana,Gurgaon,2022,117,13,260,19,50,35,13,507
Haryana,Hissar,2022,55,3,62,14,52,18,1,205
Haryana,Jhajjar,2022,56,2,17,25,16,1,7,124
Haryana,Jind,2022,23,6,67,12,24,5,0,137
Haryana,Kaithal,2022,33,1,77,10,25,6,0,152
Haryana,Karnal,2022,100,10,186,17,11,24,3,351
Haryana,Kurukshetra,2022,35,9,57,6,11,10,7,135
Haryana,Mahendergarh,2022,24,7,59,15,20,7,7,139
Haryana,Mewat,2022,85,2,30,5,26,3,1,152
Haryana,Palwal,2022,49,3,72,16,45,7,0,192
Haryana,Panchkula,2022,36,2,90,5,9,9,3,154
Haryana,Panipat,2022,64,12,92,18,37,22,0,245
Haryana,Rewari,2022,41,16,83,11,41,9,35,236
Haryana,Rohtak,2022,68,3,19,16,31,27,0,164
Haryana,Sirsa,2022,49,7,65,5,52,15,2,195
Haryana,Sonipat,2022,60,9,68,28,23,13,2,203
Haryana,Yamunanagar,2022,50,7,82,7,23,17,0,186
Haryana,Irrigation & Power,2022,0,0,0,0,0,0,0,0
Haryana,Total,2022,1174,136,1922,293,599,284,102,4510
Himachal Pradesh,Baddi,2022,9,0,10,0,3,1,1,24
Himachal Pradesh,Bilaspur,2022,15,1,43,0,16,2,0,77
Himachal Pradesh,Chamba,2022,23,0,19,0,6,5,1,54
Himachal Pradesh,C. I. D.,2022,1,0,0,0,0,0,0,1
Himachal Pradesh,G. R. P.,2022,0,0,0,0,0,0,0,0
Himachal Pradesh,Hamirpur,2022,13,0,13,0,0,0,14,40
Himachal Pradesh,Kangra,2022,43,3,26,0,17,9,15,113
Himachal Pradesh,Kinnaur,2022,10,0,3,0,0,0,1,14
Himachal Pradesh,Kullu,2022,16,0,4,0,7,0,0,27
Himachal Pradesh,Lahaul & Spiti,2022,0,0,1,0,0,0,0,1
Himachal Pradesh,Mandi,2022,47,0,33,0,19,15,15,129
Himachal Pradesh,Shimla,2022,39,0,32,0,34,10,10,125
Himachal Pradesh,Sirmaur,2022,28,0,15,0,40,6,2,91
Himachal Pradesh,Solan,2022,16,1,18,0,4,7,0,46
Himachal Pradesh,Una,2022,23,0,10,1,13,7,1,55
Himachal Pradesh,Total,2022,283,5,227,1,159,62,60,797
Jammu & Kashmir,Anantnag,2022,19,0,62,0,0,0,0,81
Jammu & Kashmir,Awantipora,2022,6,0,19,0,19,0,0,44
Jammu & Kashmir,Bandipora,2022,4,0,37,0,0,0,5,46
Jammu & Kashmir,Baramulla,2022,10,4,54,0,0,0,18,86
Jammu & Kashmir,Budgam,2022,9,0,46,0,0,0,6,61
Jammu & Kashmir,Crime Jammu,2022,0,0,0,0,0,0,0,0
Jammu & Kashmir,Crime Srinagar,2022,1,0,0,0,0,0,0,1
